SOLMETRIC PVA IV DATA v.,3.0

Measurement Date,11/24/2017
Measurement Time,11:26:54 AM
Sort Index,12
PC Software Revision,3.7.8410
Project File,DSM_Pune_24_Nov_17
Array Location,"Inv2-CB1-020003-Module1"

PVA Measurement Unit MAC Address,00158D00002ED0AC
SolSensor Unit MAC Address,00158D0000229321

,MEASUREMENTS,MODEL PREDICTIONS
Pmax,191.208594522402,199.802934680273
Vmpp,25.5443778296059,24.4216718812112
Impp,7.48534944941159,8.18137823045571
Voc,32.8428606976719,32.3636446949921,
Isc,8.26699574225424,8.17906141809717,

SolSensor Measurements
Irradiance (W/m^2),920.445007324219
Temperature Thermocouple 1 (Deg C),62.0977783203125
Temperature Thermocouple 2 (Deg C),31.0437622070313
Pitch (Deg),-1.73117282657583
Roll (Deg),25.7739139293118
Tilt (from pitch and roll above) (Deg),25.8280207417231

MODEL DETAILS
Irradiance used in model (W/m^2),910.772125277629,Method: Measured
Cell Temperature used in model (Deg C),64.928941245742,Method: Thermocouple 1
Tilt use in model (Deg),25.8280207417231,Method: Measured
Array Azimuth (Deg),180
User Series R (Ohms),0.059934
Performance Factor (%),95.7
Latitude,18.8
Longitude,74.4
Time Zone,5
Module Mfr,Tata Power Solar Systems
Module Model,TP255 (Mod)
# of Modules in String,1
# of Strings in Parallel,1
Inverter Mfr,Undefined Inverter
Inverter Model,Undefined Inverter
Wire Gauge (AWG),10
Wire Length (ft; one way),30

IV Measurements:
VOLTS,AMPS,WATTS
2.89999926386723,8.26699574225424,23.9742815669308
4.36950989774504,8.25680271516395,36.078181187637
5.90019535384714,8.24253247723755,48.6325518261311
7.33807888784959,8.16506547135135,59.915894553233
8.80768125897121,8.16098826051524,71.8793833568241
10.2466656398994,8.15691104967912,83.5811401804629
11.7468860012145,8.15283383884301,95.7704096917324
13.1245732435933,8.14467941717078,106.895441556244
14.6240291278765,8.08963707088322,118.303088158546
15.968621474479,7.91635561034832,126.41328619902
17.3770490233763,7.91635561034832,137.562899527503
18.7547668448364,7.91023979409415,148.354703024982
20.132545824459,7.90820118867609,159.212222820063
21.6020870374181,7.90004676700386,170.657497860491
22.9183854040037,7.88169931824134,180.635822613929
24.2332159746884,7.76549880941205,188.183009799668
25.4541131972663,7.51067313215484,191.177524093536
26.5504896606254,7.11926089188777,189.019862701361
27.5226817346597,6.61368674820947,182.026395463706
28.3100038624451,6.03064559864497,170.727600190677
29.0660658393305,5.40479373530127,157.096090558268
29.6996252763609,4.77690326653951,141.872236997648
30.1806451858871,4.18570769530278,126.32735880377
30.6316892659265,3.63732283784527,111.417342928734
30.9917661687425,3.14805753751143,97.5638630883015
31.2608758943352,2.71791179430126,84.9643032934014
31.5001932649287,2.34280839737865,73.7989173001252
31.6484823001362,2.02274734674359,64.0168836010621
31.9199160359055,1.74753561530581,55.7811901103158
32.0082839912208,1.51513459764723,48.4968584864168
32.0972023699991,1.3194284775137,42.3499628554969
32.2171362670273,1.15022422781491,37.0569306851492
32.3068497019186,1.00752184855087,32.5498569325322
32.3662509374292,0.885205523467413,28.6507841037446
32.4259579637525,0.783275252564529,25.398450413705
32.4552610534513,0.695615219588049,22.576373544484
32.4848087758002,0.624264029956031,20.2790976387321
32.5450356465051,0.556990051160128,18.1272610697551
32.5747974224229,0.499909099454513,16.2844376443566
32.6352995048593,0.450982569421129,14.7179512245295
32.6347185023151,0.412249066478033,13.4536322373528
32.6953734801578,0.373515563534937,12.2122308504264
32.6642662246641,0.340897876846014,11.135179004721
32.6944561077197,0.312357400993207,10.2123553366938
32.6940585796632,0.285855530558457,9.3457774613989
32.7243401999626,0.263430870959823,8.6206014404617
32.6933858398752,0.241006211361189,7.87930905783786
32.693141207225,0.224697368016727,7.34606278146268
32.7541325549617,0.208388524672266,6.82558536004831
32.7538573432303,0.190041075909747,6.22457828970184
32.7537350269052,0.181886654237516,5.95746727782593
32.7535515524176,0.16965502172917,5.5568045003329
32.7533986570112,0.159461994638882,5.22292228104948
32.7532763406861,0.151307572966651,4.95581874981525
32.7837414354732,0.141114545876363,4.6262627847949
32.7224442969238,0.137037335040247,4.48419656245338
32.7835273819043,0.126844307949959,4.15840384291618
32.7834662237418,0.122767097113844,4.02473098161852
32.7833439074167,0.114612675441613,3.75738675515153
32.7832827492541,0.110535464605498,3.6237153899822
32.7831910120103,0.104419648351325,3.42320927730843
32.7831298538478,0.100342437515209,3.28953915891271
32.783038116604,0.0942266212610363,3.08903491639936
32.8136255277161,0.0921880158429786,3.02502303001466
32.7829463793602,0.0881108050068633,2.88853179598226
32.7829158002789,0.0860721995888056,2.82169767186461
32.8134420532285,0.0799563833346326,2.62364415133669
32.813380895066,0.0758791724985173,2.48985218919626
32.7827323257913,0.0738405670804596,2.42069554538334
32.8133197369034,0.0718019616624019,2.35606072576528
32.8132585787409,0.0677247508262866,2.22226976104374
32.8131974205783,0.0636475399901713,2.08847929503164
32.8131362624158,0.0595703291540559,1.954689327729
32.8131056833345,0.0575317237359982,1.88779453109371
32.7822430604909,0.0412228803915369,1.35137848464891
32.8128916297656,0.0432614858095945,1.41953444561287
32.8128916297656,0.0432614858095945,1.41953444561287
32.7822430604909,0.0412228803915369,1.35137848464891
32.8128610506843,0.0412228803915369,1.35264064639648
32.8741276101525,0.0432614858095945,1.42218360510941
32.8128304716031,0.0391842749734792,1.28574697185745
32.7822736395722,0.0432614858095945,1.4182098658646
32.8128610506843,0.0412228803915369,1.35264064639648
32.8128304716031,0.0391842749734792,1.28574697185745
32.8128610506843,0.0412228803915369,1.35264064639648
