SOLMETRIC PVA IV DATA v.,3.0

Measurement Date,5/11/2018
Measurement Time,2:06:34 PM
Sort Index,2
PC Software Revision,3.7.8410
Project File,Palace Solar (11-05-2018)
Array Location,"Inv8-CB1-S2-Module2"

PVA Measurement Unit MAC Address,00158D00002ED046
SolSensor Unit MAC Address,00158D00002874EC

,MEASUREMENTS,MODEL PREDICTIONS
Pmax,166.739138394607,170.433636626136
Vmpp,23.2558861499537,24.4660148952318
Impp,7.16976069281882,6.96613802272115
Voc,31.3584799649266,31.3584786109219,
Isc,7.8495861179265,7.82135544018164,

SolSensor Measurements
Irradiance (W/m^2),909.621215820313
Temperature Thermocouple 1 (Deg C),62.5556945800781
Temperature Thermocouple 2 (Deg C),=NA()
Pitch (Deg),9.203778138119
Roll (Deg),0.0705793737042632
Tilt (from pitch and roll above) (Deg),9.20404642223856

MODEL DETAILS
Irradiance used in model (W/m^2),901.689883357083,Method: Measured
Cell Temperature used in model (Deg C),64.7304167480497,Method: SmartTemp
Tilt use in model (Deg),9.20404642223856,Method: Measured
Array Azimuth (Deg),180
User Series R (Ohms),0.059934
Performance Factor (%),97.8
Latitude,23.9
Longitude,71.2
Time Zone,5
Module Mfr,Canadian Solar
Module Model,CS6P-235P
# of Modules in String,1
# of Strings in Parallel,1
Inverter Mfr,Undefined Inverter
Inverter Model,Undefined Inverter
Wire Gauge (AWG),10
Wire Length (ft; one way),30

IV Measurements:
VOLTS,AMPS,WATTS
0.98374577053823,7.8495861179265,7.7219971439858
2.45317107900907,7.843472590578,19.2413801182063
3.83084327717883,7.843472590578,30.0471142433521
5.23913041308569,7.843472590578,41.0929757935012
6.61671090834522,7.8373590632295,51.8575392062889
8.02490634134185,7.831245535881,62.8450119614965
9.37181076359079,7.82105632363349,73.2974598364782
10.810559999051,7.81086711138599,84.4398475522528
12.1575561242102,7.80679142648699,94.9115049175186
13.5656904219334,7.79660221423949,105.766291981333
14.912625411819,7.78845084444149,116.146249981522
16.3208514124524,7.78437515954249,127.047630317678
17.6677864023381,7.77622378974448,137.388660933986
19.014690824587,7.76603457749698,147.668746424157
20.3300327123598,7.69267224931497,156.392278474036
21.6136286598361,7.54390975050143,163.051263990655
22.7733893127105,7.30344434146038,166.32418131179
23.8703000053633,6.9549732825958,166.017298784848
24.8435588092348,6.52702636820071,162.15456342782
25.6932879948718,6.0277549680731,154.872844357221
26.4812370875733,5.49180240385448,145.429721494575
27.1465735911426,4.94566062738836,134.257740178215
27.7204320931415,4.42397296031625,122.634442028341
28.2028125935701,3.92673940263814,110.745095476391
28.624605138896,3.47230053639954,99.3932317780133
29.0164552344931,3.06269420404995,88.8685292687567
29.3171330048872,2.69792040558937,79.0952913672627
29.5878377579159,2.37594129856829,70.2989656643706
29.7978628529317,2.09064335563823,62.2967039857008
29.9778232276717,1.84202657679918,55.219947099959
30.1583338198731,1.63009096205113,49.1608273902961
30.3698261614525,1.44260945669709,43.8117984187581
30.4286106259874,1.27958206073705,38.9359042901663
30.5183462722634,1.13897093172152,34.7595092883199
30.6389413973706,1.01466254230199,31.0881861716979
30.7291661258345,0.906656892478471,27.8608102681038
30.7584055199182,0.814953982250951,25.066685066147
30.8184432575595,0.735478126720433,22.6662909155098
30.9092487711216,0.666191483437418,20.5914782907697
30.9389772473931,0.607094052401905,18.7828690742902
30.9687668589382,0.552072306265393,17.0969985420093
30.9986787410302,0.505201929926883,15.6605923251519
31.0286517583957,0.462407238487373,14.3478731735861
31.0587164786715,0.425726074396365,13.2225054422545
31.0581662612101,0.389044910305357,12.0830215073413
31.1189681897699,0.360515116012351,11.2188584271196
31.1185708104923,0.334023164168845,10.3943234865329
31.1488189365885,0.30956905477484,9.64271043555231
31.1485438278578,0.291228472729336,9.07134284672979
31.1788530892275,0.270850048234331,8.44479386310838
31.1786085481335,0.254547308638327,7.93643089301534
31.1783640070396,0.238244569042324,7.42807589630184
31.1781194659456,0.22194182944632,6.9197288729679
31.2085204302255,0.207676932299817,6.48128978456541
31.2389213945055,0.193412035153314,6.0419833629057
31.2387685563217,0.183222822905812,5.72365535899058
31.2080619156744,0.17710929555731,5.52723786159402
31.2691083853282,0.164882240860308,5.15572066027674
31.2689861147812,0.156730871062306,4.9008154310048
31.2688332765975,0.146541658814804,4.58218669755613
31.2381572035869,0.142465973915803,4.45037448934395
31.268649870777,0.134314604117801,4.19983632869154
31.2685581678668,0.1282010767693,4.008662826144
31.2684664649566,0.122087549420798,3.81749044485296
31.2990202674202,0.118011864521797,3.69365573946378
31.29892856451,0.111898337173296,3.50229806167444
31.2988979968732,0.109860494723796,3.43851241824611
31.3294517993368,0.105784809824795,3.31418010050792
31.2987757263262,0.101709124925794,3.18337109037332
31.2987145910528,0.0976334400267929,3.05580117394126
31.2986228881425,0.0915199126782915,2.86444723367358
31.2680079504054,0.0915199126782915,2.86164535724523
31.2985617528691,0.0874442277792906,2.73687856308207
31.2985311852323,0.0854063853297902,2.6730944146624
31.2984700499588,0.0813307004307893,2.54552649157523
31.3596387901596,0.0772550155317884,2.42268938180505
31.2677939769482,0.0772550155317884,2.41559390933389
31.2983477794119,0.0731793306327875,2.29039214040955
31.328962717149,0.0731793306327875,2.29263252106052
31.2983172117751,0.071141488183287,2.22660886407827
31.2982560765016,0.0670658032842861,2.09904268516787
31.328840446602,0.0650279608347857,2.03725060956088
31.3288098789652,0.0629901183852852,1.97340544314611
31.3593942490656,0.0609522759357848,1.91142645144811
31.2981338059547,0.0589144334862843,1.84391182235574
31.2981643735914,0.0609522759357848,1.90769435118269
