"","V","I"
"1",0,9.724871
"2",0.100098,9.723773
"3",0.200195,9.722942
"4",0.300293,9.722374
"5",0.400391,9.72204
"6",0.500488,9.72187
"7",0.600586,9.721784
"8",0.700684,9.721713
"9",0.800781,9.721572
"10",0.900879,9.721464
"11",1.000977,9.721314
"12",1.101074,9.721137
"13",1.201172,9.720943
"14",1.30127,9.720747
"15",1.401368,9.720559
"16",1.501465,9.720371
"17",1.601563,9.720253
"18",1.701661,9.720143
"19",1.801758,9.720028
"20",1.901856,9.719902
"21",2.001954,9.719592
"22",2.102051,9.719445
"23",2.202149,9.719353
"24",2.302247,9.719322
"25",2.402344,9.719345
"26",2.502442,9.719414
"27",2.60254,9.719522
"28",2.702637,9.719643
"29",2.802735,9.719841
"30",2.902833,9.720053
"31",3.00293,9.720276
"32",3.103028,9.720491
"33",3.203126,9.720698
"34",3.303223,9.720909
"35",3.403321,9.721075
"36",3.503419,9.721234
"37",3.603516,9.721369
"38",3.703614,9.721473
"39",3.803712,9.721535
"40",3.903809,9.721492
"41",4.003907,9.721467
"42",4.104005,9.721433
"43",4.204103,9.721341
"44",4.3042,9.721224
"45",4.404298,9.72107
"46",4.504396,9.720868
"47",4.604493,9.720669
"48",4.704591,9.720446
"49",4.804689,9.720273
"50",4.904786,9.720087
"51",5.004884,9.719899
"52",5.104982,9.719712
"53",5.205079,9.719603
"54",5.305177,9.719411
"55",5.405275,9.719227
"56",5.505372,9.71906
"57",5.60547,9.718867
"58",5.705568,9.718746
"59",5.805665,9.718656
"60",5.905763,9.718563
"61",6.005861,9.718507
"62",6.105958,9.718455
"63",6.206056,9.71839
"64",6.306154,9.718303
"65",6.406251,9.718198
"66",6.506349,9.718121
"67",6.606447,9.718024
"68",6.706545,9.717905
"69",6.806642,9.717797
"70",6.90674,9.7177
"71",7.006838,9.717609
"72",7.106935,9.717502
"73",7.207033,9.717393
"74",7.307131,9.717271
"75",7.407228,9.717133
"76",7.507326,9.716978
"77",7.607424,9.716808
"78",7.707521,9.716633
"79",7.807619,9.716431
"80",7.907717,9.716225
"81",8.007814,9.716007
"82",8.107912,9.715792
"83",8.20801,9.715577
"84",8.308107,9.715377
"85",8.408205,9.715235
"86",8.508303,9.715101
"87",8.6084,9.714997
"88",8.708498,9.714909
"89",8.808596,9.714826
"90",8.908693,9.714736
"91",9.008791,9.714638
"92",9.108889,9.714555
"93",9.208987,9.714433
"94",9.309084,9.714307
"95",9.409182,9.714176
"96",9.50928,9.714045
"97",9.609377,9.71396
"98",9.709475,9.713828
"99",9.809573,9.713685
"100",9.90967,9.71354
"101",10.009768,9.713404
"102",10.109866,9.713277
"103",10.209963,9.713156
"104",10.310061,9.713052
"105",10.410159,9.712937
"106",10.510256,9.712813
