"","V","I"
"1",0.077,2.085
"2",0.991,2.085
"3",1.901,2.084
"4",2.829,2.083
"5",3.768,2.083
"6",4.657,2.082
"7",5.592,2.083
"8",6.555,2.082
"9",7.574,2.081
"10",8.435,2.062
"11",9.266,2.045
"12",10.19,2.043
"13",11.104,2.044
"14",12.029,2.043
"15",12.981,2.042
"16",13.909,2.042
"17",14.826,2.04
"18",15.8,2.04
"19",16.867,2.038
"20",18.231,2.037
"21",19.927,1.995
"22",20.949,1.825
"23",21.587,1.622
"24",21.992,1.444
"25",22.282,1.319
"26",23.084,1.298
"27",23.991,1.297
"28",24.915,1.296
"29",25.861,1.296
"30",26.785,1.295
"31",27.706,1.295
"32",28.659,1.295
"33",29.691,1.295
"34",30.954,1.295
"35",33.068,1.294
"36",34.603,1.113
"37",35.113,0.808
"38",35.486,0.545
"39",35.733,0.344
"40",35.773,0.299
"41",36.097,0
