"","V","I"
"1",0.072,1.37
"2",1.164,1.368
"3",2.288,1.366
"4",3.379,1.364
"5",4.501,1.363
"6",5.6,1.363
"7",6.717,1.362
"8",7.817,1.361
"9",8.944,1.36
"10",10.04,1.36
"11",11.161,1.359
"12",12.266,1.358
"13",13.405,1.358
"14",14.503,1.357
"15",15.624,1.356
"16",16.722,1.354
"17",17.845,1.353
"18",18.935,1.352
"19",20.068,1.351
"20",21.16,1.349
"21",22.282,1.348
"22",23.383,1.346
"23",24.497,1.343
"24",25.623,1.339
"25",26.745,1.335
"26",27.844,1.33
"27",28.966,1.324
"28",30.068,1.316
"29",31.194,1.306
"30",32.291,1.294
"31",33.425,1.279
"32",34.534,1.259
"33",35.664,1.23
"34",36.78,1.194
"35",37.954,1.143
"36",39.102,1.071
"37",40.298,0.962
"38",41.51,0.791
"39",42.664,0.545
"40",43.368,0.339
"41",44.232,0
